index,missing_info_en_noun_adj_gscore,missing_info_en_noun_adj_gmagnitude,improvements_en_noun_adj_gscore,improvements_en_noun_adj_gmagnitude
0,0.0,0.0,0.0,0.0
1,-0.800000011920929,0.800000011920929,-0.20000000298023224,0.20000000298023224
2,-0.6000000238418579,0.6000000238418579,0.20000000298023224,0.20000000298023224
3,0.0,0.0,0.10000000149011612,0.10000000149011612
4,0.10000000149011612,0.10000000149011612,0.4000000059604645,0.4000000059604645
5,0.0,0.0,0.0,0.0
6,-0.20000000298023224,0.20000000298023224,-0.6000000238418579,0.6000000238418579
7,-0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
8,0.0,0.0,-0.6000000238418579,0.6000000238418579
9,0.0,0.0,0.0,0.0
10,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
11,0.0,0.0,-0.10000000149011612,0.10000000149011612
12,0.0,0.0,-0.800000011920929,0.800000011920929
22,-0.5,0.5,0.10000000149011612,0.10000000149011612
21,-0.699999988079071,0.699999988079071,-0.10000000149011612,0.10000000149011612
20,0.0,0.0,-0.30000001192092896,0.30000001192092896
19,0.20000000298023224,0.20000000298023224,-0.10000000149011612,0.10000000149011612
18,0.10000000149011612,0.10000000149011612,-0.6000000238418579,0.6000000238418579
14,-0.699999988079071,0.699999988079071,-0.6000000238418579,0.6000000238418579
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
13,0.0,0.0,0.30000001192092896,0.30000001192092896
17,0.0,0.0,0.0,0.0
28,0.0,0.0,-0.699999988079071,0.699999988079071
23,0.0,0.0,0.0,0.0
24,0.10000000149011612,0.10000000149011612,-0.699999988079071,0.699999988079071
25,0.0,0.0,0.0,0.0
26,0.0,0.0,-0.699999988079071,0.699999988079071
27,0.20000000298023224,0.20000000298023224,-0.800000011920929,0.800000011920929
30,0.10000000149011612,0.10000000149011612,0.0,0.0
31,-0.699999988079071,0.699999988079071,0.0,0.0
29,-0.6000000238418579,0.6000000238418579,-0.699999988079071,0.699999988079071
32,-0.10000000149011612,0.10000000149011612,0.0,0.0
33,-0.5,0.5,-0.20000000298023224,0.20000000298023224
34,0.0,0.0,-0.10000000149011612,0.10000000149011612
35,0.0,0.0,0.5,0.5
36,-0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.10000000149011612,0.10000000149011612
39,-0.20000000298023224,0.20000000298023224,0.0,0.0
40,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
41,-0.4000000059604645,0.4000000059604645,0.5,0.5
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
48,0.0,0.0,-0.10000000149011612,0.10000000149011612
47,0.0,0.0,0.10000000149011612,0.10000000149011612
45,-0.20000000298023224,0.20000000298023224,0.5,0.5
44,0.0,0.0,0.0,0.0
49,0.0,0.0,-0.6000000238418579,0.6000000238418579
50,-0.699999988079071,0.699999988079071,0.4000000059604645,0.4000000059604645
51,0.0,0.0,0.699999988079071,0.699999988079071
52,0.4000000059604645,0.4000000059604645,-0.6000000238418579,0.6000000238418579
53,-0.20000000298023224,0.20000000298023224,-0.4000000059604645,0.4000000059604645
54,0.0,0.0,-0.10000000149011612,0.10000000149011612
55,0.10000000149011612,0.10000000149011612,-0.30000001192092896,0.30000001192092896
56,0.0,0.0,-0.699999988079071,0.699999988079071
57,0.4000000059604645,0.4000000059604645,-0.30000001192092896,0.30000001192092896
58,-0.699999988079071,0.699999988079071,0.4000000059604645,0.4000000059604645
66,-0.10000000149011612,0.10000000149011612,0.800000011920929,0.800000011920929
65,-0.10000000149011612,0.10000000149011612,-0.699999988079071,0.699999988079071
67,-0.10000000149011612,0.10000000149011612,0.800000011920929,0.800000011920929
64,-0.800000011920929,0.800000011920929,-0.10000000149011612,0.10000000149011612
62,0.0,0.0,-0.4000000059604645,0.4000000059604645
63,0.0,0.0,0.800000011920929,0.800000011920929
61,0.0,0.0,0.0,0.0
60,0.0,0.0,0.699999988079071,0.699999988079071
59,0.0,0.0,-0.699999988079071,0.699999988079071
68,0.30000001192092896,0.30000001192092896,0.10000000149011612,0.10000000149011612
69,0.0,0.0,0.30000001192092896,0.30000001192092896
70,-0.699999988079071,0.699999988079071,0.30000001192092896,0.30000001192092896
71,0.0,0.0,0.6000000238418579,0.6000000238418579
72,-0.10000000149011612,0.10000000149011612,-0.10000000149011612,0.10000000149011612
73,0.5,0.5,-0.8999999761581421,0.8999999761581421
