index,missing_info_en_adj_gscore,missing_info_en_adj_gmagnitude,improvements_en_adj_gscore,improvements_en_adj_gmagnitude
0,0.0,0.0,0.0,0.0
1,-0.800000011920929,0.800000011920929,0.0,0.0
2,-0.699999988079071,0.699999988079071,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.8999999761581421,0.8999999761581421
5,0.0,0.0,0.0,0.0
6,0.0,0.0,-0.30000001192092896,0.30000001192092896
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.10000000149011612,0.10000000149011612
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,-0.699999988079071,0.699999988079071
12,0.0,0.0,-0.699999988079071,0.699999988079071
22,0.30000001192092896,0.30000001192092896,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.20000000298023224,0.20000000298023224,0.10000000149011612,0.10000000149011612
19,0.10000000149011612,0.10000000149011612,-0.10000000149011612,0.10000000149011612
18,0.0,0.0,-0.5,0.5
14,-0.5,0.5,-0.4000000059604645,0.4000000059604645
16,0.0,0.0,0.10000000149011612,0.10000000149011612
15,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
28,0.0,0.0,-0.699999988079071,0.699999988079071
23,0.0,0.0,-0.5,0.5
24,0.0,0.0,0.6000000238418579,0.6000000238418579
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
30,0.10000000149011612,0.10000000149011612,0.0,0.0
31,-0.800000011920929,0.800000011920929,0.10000000149011612,0.10000000149011612
29,-0.5,0.5,-0.5,0.5
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.5,0.5
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,-0.699999988079071,0.699999988079071,0.8999999761581421,0.8999999761581421
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,-0.10000000149011612,0.10000000149011612
41,0.0,0.0,0.6000000238418579,0.6000000238418579
42,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
43,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
48,0.0,0.0,0.30000001192092896,0.30000001192092896
47,0.0,0.0,0.0,0.0
45,-0.10000000149011612,0.10000000149011612,0.8999999761581421,0.8999999761581421
44,0.0,0.0,0.0,0.0
49,0.0,0.0,-0.699999988079071,0.699999988079071
50,-0.800000011920929,0.800000011920929,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.6000000238418579,0.6000000238418579,0.0,0.0
53,0.20000000298023224,0.20000000298023224,-0.4000000059604645,0.4000000059604645
54,0.0,0.0,-0.10000000149011612,0.10000000149011612
55,0.10000000149011612,0.10000000149011612,-0.10000000149011612,0.10000000149011612
56,0.0,0.0,0.0,0.0
57,0.800000011920929,0.800000011920929,0.0,0.0
58,-0.800000011920929,0.800000011920929,0.0,0.0
66,0.6000000238418579,0.6000000238418579,0.5,0.5
65,0.800000011920929,0.800000011920929,-0.800000011920929,0.800000011920929
67,0.6000000238418579,0.6000000238418579,0.5,0.5
64,-0.800000011920929,0.800000011920929,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
60,0.0,0.0,0.699999988079071,0.699999988079071
59,0.0,0.0,-0.30000001192092896,0.30000001192092896
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.30000001192092896,0.30000001192092896
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.800000011920929,0.800000011920929
72,0.0,0.0,0.30000001192092896,0.30000001192092896
73,0.699999988079071,0.699999988079071,-0.800000011920929,0.800000011920929
74,0.6000000238418579,0.6000000238418579,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.20000000298023224,0.20000000298023224
75,0.0,0.0,0.800000011920929,0.800000011920929
76,0.6000000238418579,0.6000000238418579,0.800000011920929,0.800000011920929
79,0.0,0.0,0.800000011920929,0.800000011920929
