index,missing_info_es_adj_gscore,missing_info_es_adj_gmagnitude,improvements_es_adj_gscore,improvements_es_adj_gmagnitude
0,0,0,0,0
1,-0.400000005960465,0.400000005960465,-0.100000001490116,0.100000001490116
2,-0.5,0.5,0.800000011920929,0.800000011920929
3,0,0,0.5,0.5
4,0,0,0.800000011920929,0.800000011920929
5,0,0,0,0
6,0.100000001490116,0.100000001490116,-0.200000002980232,0.200000002980232
7,0.400000005960465,0.400000005960465,0,0
8,0,0,0.300000011920929,0.300000011920929
9,0,0,0,0
10,0,0,0,0
11,0,0,0.300000011920929,0.300000011920929
12,0,0,-0.200000002980232,0.200000002980232
22,0,0,0,0
21,0,0,0,0
20,0.300000011920929,0.300000011920929,-0.100000001490116,0.100000001490116
19,0,0,0,0
18,0,0,-0.600000023841858,0.600000023841858
14,-0.400000005960465,0.400000005960465,0.400000005960465,0.400000005960465
16,0,0,0.300000011920929,0.300000011920929
15,0,0,0.300000011920929,0.300000011920929
13,0,0,0,0
17,0,0,0.300000011920929,0.300000011920929
28,0.200000002980232,0.200000002980232,-0.600000023841858,0.600000023841858
23,0,0,0.100000001490116,0.100000001490116
24,0,0,0.800000011920929,0.800000011920929
25,0.300000011920929,0.300000011920929,0.300000011920929,0.300000011920929
26,0,0,0,0
27,0.800000011920929,0.800000011920929,0,0
30,0.600000023841858,0.600000023841858,0.300000011920929,0.300000011920929
31,-0.800000011920929,0.800000011920929,0,0
29,-0.400000005960465,0.400000005960465,-0.300000011920929,0.300000011920929
32,0.100000001490116,0.100000001490116,0,0
33,0.400000005960465,0.400000005960465,0,0
34,0,0,0,0
35,0,0,0,0
36,-0.300000011920929,0.300000011920929,0.300000011920929,0.300000011920929
37,0,0,0.100000001490116,0.100000001490116
38,0,0,0.100000001490116,0.100000001490116
39,0.300000011920929,0.300000011920929,0.200000002980232,0.200000002980232
40,0,0,0.600000023841858,0.600000023841858
41,0,0,0.600000023841858,0.600000023841858
42,0.300000011920929,0.300000011920929,0,0
43,0,0,0,0
46,0,0,0,0
48,0,0,0.300000011920929,0.300000011920929
47,0,0,0,0
45,0.300000011920929,0.300000011920929,0.800000011920929,0.800000011920929
44,0,0,0.100000001490116,0.100000001490116
49,0,0,-0.400000005960465,0.400000005960465
50,-0.5,0.5,0,0
51,0,0,-0.600000023841858,0.600000023841858
52,0.100000001490116,0.100000001490116,0.300000011920929,0.300000011920929
53,0.200000002980232,0.200000002980232,0,0
54,0,0,0.100000001490116,0.100000001490116
55,0,0,0,0
56,0,0,-0.600000023841858,0.600000023841858
57,0.899999976158142,0.899999976158142,0.200000002980232,0.200000002980232
58,0.100000001490116,0.100000001490116,0,0
66,0.200000002980232,0.200000002980232,0.400000005960465,0.400000005960465
65,0.300000011920929,0.300000011920929,-0.5,0.5
67,0.200000002980232,0.200000002980232,0.400000005960465,0.400000005960465
64,-0.800000011920929,0.800000011920929,0.300000011920929,0.300000011920929
62,0,0,0,0
63,0,0,0,0
61,0,0,0,0
60,0.100000001490116,0.100000001490116,0.400000005960465,0.400000005960465
59,0,0,0.200000002980232,0.200000002980232
68,0,0,0.100000001490116,0.100000001490116
69,0,0,0,0
70,-0.699999988079071,0.699999988079071,0,0
71,0,0,0,0
72,0.300000011920929,0.300000011920929,0.600000023841858,0.600000023841858
73,0.800000011920929,0.800000011920929,-0.400000005960465,0.400000005960465
74,0.600000023841858,0.600000023841858,0.100000001490116,0.100000001490116
77,0.300000011920929,0.300000011920929,0,0
78,0,0,0.100000001490116,0.100000001490116
75,0,0,0.899999976158142,0.899999976158142
76,0.200000002980232,0.200000002980232,0.699999988079071,0.699999988079071
79,0,0,0.899999976158142,0.899999976158142
80,0,0,0,0
81,0,0,0.200000002980232,0.200000002980232
89,0.300000011920929,0.300000011920929,0.300000011920929,0.300000011920929
88,0,0,0.100000001490116,0.100000001490116
87,0,0,0,0
86,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232
85,0,0,0,0
83,0,0,0,0
84,0.300000011920929,0.300000011920929,0,0
82,0.200000002980232,0.200000002980232,0,0
104,0,0,0,0
107,0.200000002980232,0.200000002980232,0,0
105,0,0,0,0
106,0,0,0.100000001490116,0.100000001490116
94,0,0,0,0
109,0,0,0.300000011920929,0.300000011920929
110,0.5,0.5,-0.300000011920929,0.300000011920929
111,0,0,0,0
103,0.100000001490116,0.100000001490116,0.5,0.5
108,0,0,0,0
102,0.300000011920929,0.300000011920929,0,0
90,0,0,0,0
100,0,0,0,0
99,0,0,0,0
98,0,0,0.100000001490116,0.100000001490116
97,0,0,0,0
96,0,0,-0.600000023841858,0.600000023841858
95,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116
93,0,0,0,0
92,0,0,0,0
91,-0.300000011920929,0.300000011920929,0,0
101,0,0,0.200000002980232,0.200000002980232
133,-0.400000005960465,0.400000005960465,0,0
129,0,0,-0.400000005960465,0.400000005960465
130,0,0,0,0
131,0,0,0,0
132,0.100000001490116,0.100000001490116,0,0
134,0,0,-0.699999988079071,0.699999988079071
128,0.400000005960465,0.400000005960465,0,0
136,-0.400000005960465,0.400000005960465,0,0
137,-0.400000005960465,0.400000005960465,0,0
135,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232
127,-0.800000011920929,0.800000011920929,0,0
112,-0.100000001490116,0.100000001490116,0.5,0.5
125,0.100000001490116,0.100000001490116,0,0
126,0.200000002980232,0.200000002980232,0.600000023841858,0.600000023841858
114,0.300000011920929,0.300000011920929,0.200000002980232,0.200000002980232
115,0.200000002980232,0.200000002980232,0.400000005960465,0.400000005960465
116,0.100000001490116,0.100000001490116,0,0
117,0,0,0,0
118,0,0,-0.400000005960465,0.400000005960465
113,0,0,0.100000001490116,0.100000001490116
120,0,0,0,0
121,0,0,0,0
122,0.100000001490116,0.100000001490116,0,0
123,0,0,0.5,0.5
124,0,0,0,0
119,0.5,0.5,0.200000002980232,0.200000002980232
161,0,0,0,0
160,0,0,-0.800000011920929,0.800000011920929
171,0,0,0,0
167,0.300000011920929,0.300000011920929,0.100000001490116,0.100000001490116
165,-0.800000011920929,0.800000011920929,0.600000023841858,0.600000023841858
193,-0.699999988079071,0.699999988079071,0.200000002980232,0.200000002980232
194,0.200000002980232,0.200000002980232,0,0
195,0,0,0,0
192,0.800000011920929,0.800000011920929,0,0
189,0,0,0.899999976158142,0.899999976158142
184,0,0,-0.800000011920929,0.800000011920929
244,0,0,0.400000005960465,0.400000005960465
238,0,0,0,0
243,0,0,0.100000001490116,0.100000001490116
227,0,0,0,0
221,0,0,-0.699999988079071,0.699999988079071
222,0,0,-0.300000011920929,0.300000011920929
269,0,0,0,0
270,0,0,0,0
280,0,0,0,0
265,0,0,0,0
251,0,0,0.100000001490116,0.100000001490116
246,0,0,0,0
254,0,0,0,0
260,0,0,0,0
261,-0.699999988079071,0.699999988079071,-0.699999988079071,0.699999988079071
253,-0.5,0.5,0,0
304,0,0,0,0
301,0.800000011920929,0.800000011920929,0.300000011920929,0.300000011920929
284,0,0,0.699999988079071,0.699999988079071
299,0,0,-0.800000011920929,0.800000011920929
285,0,0,0.600000023841858,0.600000023841858
292,0.300000011920929,0.300000011920929,0,0
295,-0.600000023841858,0.600000023841858,0,0
332,0.800000011920929,0.800000011920929,0,0
316,0,0,0,0
337,0,0,0,0
361,0.400000005960465,0.400000005960465,0,0
364,0,0,0,0
367,0,0,0,0
369,0,0,0.100000001490116,0.100000001490116
354,0,0,-0.800000011920929,0.800000011920929
353,0,0,0.300000011920929,0.300000011920929
347,0.300000011920929,0.300000011920929,0,0
389,0,0,0,0
381,0,0,0.300000011920929,0.300000011920929
414,0,0,0.899999976158142,0.899999976158142
415,0,0,-0.400000005960465,0.400000005960465
420,0.800000011920929,0.800000011920929,-0.5,0.5
410,-0.699999988079071,0.699999988079071,0,0
396,0,0,0.300000011920929,0.300000011920929
405,0,0,0.899999976158142,0.899999976158142
446,0.100000001490116,0.100000001490116,0.899999976158142,0.899999976158142
448,0.200000002980232,0.200000002980232,0.699999988079071,0.699999988079071
461,0,0,-0.100000001490116,0.100000001490116
480,0.200000002980232,0.200000002980232,-0.5,0.5
488,0,0,0.200000002980232,0.200000002980232
